,Unnamed: 0,URL,URL_FIRST_PART,URL_LAST_PART,PREDICATE,OBJECT,WORDS,ENTITIES,REPLACED_WORD
115,115,http://fraunhofer.de/data/Heavy_Duty_Vehicles-Hydrogen,http://fraunhofer.de/data,Heavy_Duty_Vehicles_Hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Truck,Heavy Duty Vehicles Hydrogen,"[('Heavy Duty Vehicles Hydrogen', 'ORG')]",Vehicle
116,116,http://fraunhofer.de/data/Hydrogen_Cars,http://fraunhofer.de/data,Hydrogen_Cars,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Car,Hydrogen Cars,[],Car
117,117,http://fraunhofer.de/data/new_hydrogen_vehicle,http://fraunhofer.de/data,new_hydrogen_vehicle,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inProduction,new hydrogen vehicle,[],Vehicle
118,118,http://fraunhofer.de/data/Green_Hydrogen,http://fraunhofer.de/data,Green_Hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Supplier,Green Hydrogen,"[('Green Hydrogen', 'ORG')]",Hydrogen
119,119,http://fraunhofer.de/data/The_Clean_Hydrogen_Alliance,http://fraunhofer.de/data,The_Clean_Hydrogen_Alliance,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Researcher,The Clean Hydrogen Alliance,"[('The Clean Hydrogen Alliance', 'ORG')]",European_Clean_Hydrogen_Alliance
120,120,http://fraunhofer.de/data/hydrogen_projects,http://fraunhofer.de/data,hydrogen_projects,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Manufacturer,hydrogen projects,[],Hydrogen
121,121,http://fraunhofer.de/data/hydrogen_fuel_cell_system,http://fraunhofer.de/data,hydrogen_fuel_cell_system,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Supplier,hydrogen fuel cell system,[],Fuel_Cell
122,122,http://fraunhofer.de/data/hydrogen_and_fuel_cell_technologies,http://fraunhofer.de/data,hydrogen_and_fuel_cell_technologies,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inTesting,hydrogen and fuel cell technologies,[],Fuel_Cell
123,123,http://fraunhofer.de/data/hydrogen_technology,http://fraunhofer.de/data,hydrogen_technology,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inResearch,hydrogen technology,[],Technology
124,124,http://fraunhofer.de/data/zero-carbon_hydrogen_solutions,http://fraunhofer.de/data,zero_carbon_hydrogen_solutions,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Car,zero carbon hydrogen solutions,"[('zero', 'CARDINAL')]",Hydrogen
125,125,http://fraunhofer.de/data/hydrogen_fuel_and,http://fraunhofer.de/data,hydrogen_fuel_and,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inTesting,hydrogen fuel and,[],Fuel_Cell
126,126,http://fraunhofer.de/data/hydrogen_production,http://fraunhofer.de/data,hydrogen_production,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Supplier,hydrogen production,[],Hydrogen
127,127,http://fraunhofer.de/data/%27green%27_hydrogen,http://fraunhofer.de/data,_green__hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inProduction, green  hydrogen,[],Hydrogen
128,128,http://fraunhofer.de/data/hydrogen,http://fraunhofer.de/data,hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Supplier,hydrogen,[],Hydrogen
129,129,http://fraunhofer.de/data/Hydrogen_fuel_cells,http://fraunhofer.de/data,Hydrogen_fuel_cells,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Customer,Hydrogen fuel cells,[],Fuel_Cell
130,130,http://fraunhofer.de/data/Embracing_Hydrogen_and_Fuel_Cell_Technologies_Energy_Department,http://fraunhofer.de/data,Embracing_Hydrogen_and_Fuel_Cell_Technologies_Energy_Department,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Reconversion,Embracing Hydrogen and Fuel Cell Technologies Energy Department,"[('Fuel Cell Technologies Energy Department', 'ORG')]",Fuel_Cell
131,131,http://fraunhofer.de/data/Green_hydrogen,http://fraunhofer.de/data,Green_hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Manufacturer,Green hydrogen,[],Hydrogen
132,132,http://fraunhofer.de/data/Hydrogen,http://fraunhofer.de/data,Hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Researcher,Hydrogen,"[('Hydrogen', 'ORG')]",Hydrogen
133,133,http://fraunhofer.de/data/hydrogen_fuel_cells,http://fraunhofer.de/data,hydrogen_fuel_cells,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inResearch,hydrogen fuel cells,[],Fuel_Cell
134,134,http://fraunhofer.de/data/hydrogen_tank,http://fraunhofer.de/data,hydrogen_tank,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inResearch,hydrogen tank,[],Tank
135,135,http://fraunhofer.de/data/renewable_and_low-carbon_hydrogen,http://fraunhofer.de/data,renewable_and_low_carbon_hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inProduction,renewable and low carbon hydrogen,[],Hydrogen
136,136,https://www.onenewspage.com/n/Automotive/1zlv34pk9q/Initiative-seeks-to-reduce-green-hydrogen-cost.htm,https://www.onenewspage.com/n/Automotive/1zlv34pk9q,Initiative_seeks_to_reduce_green_hydrogen_cost_htm,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://purl.org/dc/terms/BibliographicResource,Initiative seeks to reduce green hydrogen cost htm,[],Hydrogen
137,137,http://fraunhofer.de/data/hydrogen_and_fuel_cell_technologies,http://fraunhofer.de/data,hydrogen_and_fuel_cell_technologies,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inProduction,hydrogen and fuel cell technologies,[],Fuel_Cell
138,138,http://fraunhofer.de/data/Hydrogen_fuel_cells,http://fraunhofer.de/data,Hydrogen_fuel_cells,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inProduction,Hydrogen fuel cells,[],Fuel_Cell
139,139,http://fraunhofer.de/data/HyET_Hydrogen,http://fraunhofer.de/data,HyET_Hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Customer,HyET Hydrogen,"[('HyET Hydrogen', 'ORG')]",HyET_Hydrogen
140,140,http://fraunhofer.de/data/green_hydrogen,http://fraunhofer.de/data,green_hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Conversion,green hydrogen,[],Hydrogen
141,141,http://fraunhofer.de/data/hydrogen_trains,http://fraunhofer.de/data,hydrogen_trains,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Train,hydrogen trains,[],Train
142,142,http://fraunhofer.de/data/hydrogen_production,http://fraunhofer.de/data,hydrogen_production,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#HydrogenProduct,hydrogen production,[],Hydrogen
143,143,http://fraunhofer.de/data/hydrogen_technology,http://fraunhofer.de/data,hydrogen_technology,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Supplier,hydrogen technology,[],Technology
144,144,http://fraunhofer.de/data/Hydrogen_Peroxide,http://fraunhofer.de/data,Hydrogen_Peroxide,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inResearch,Hydrogen Peroxide,[],Hydrogen
145,145,http://fraunhofer.de/data/Hydrogen_and_Fuel_Cell_Technologies,http://fraunhofer.de/data,Hydrogen_and_Fuel_Cell_Technologies,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Product,Hydrogen and Fuel Cell Technologies,"[('Hydrogen', 'ORG'), ('Fuel Cell Technologies', 'ORG')]",Fuel_Cell
146,146,http://fraunhofer.de/data/Renewable_hydrogen,http://fraunhofer.de/data,Renewable_hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inTesting,Renewable hydrogen,[],Hydrogen
147,147,http://fraunhofer.de/data/hydrogen_in,http://fraunhofer.de/data,hydrogen_in,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Researcher,hydrogen in,[],Hydrogen
148,148,http://fraunhofer.de/data/Hydrogen_Evolution,http://fraunhofer.de/data,Hydrogen_Evolution,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Road,Hydrogen Evolution,"[('Hydrogen Evolution', 'ORG')]",Hydrogen
149,149,http://fraunhofer.de/data/hydrogen_in,http://fraunhofer.de/data,hydrogen_in,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Manufacturer,hydrogen in,[],Hydrogen
150,150,http://fraunhofer.de/data/hydrogen_fuel_cell,http://fraunhofer.de/data,hydrogen_fuel_cell,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inTesting,hydrogen fuel cell,[],Fuel_Cell
151,151,http://fraunhofer.de/data/contribute_to_the_development_of_zero-carbon_hydrogen,http://fraunhofer.de/data,contribute_to_the_development_of_zero_carbon_hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Road,contribute to the development of zero carbon hydrogen,"[('zero', 'CARDINAL')]",Hydrogen
152,152,http://fraunhofer.de/data/Hydrogen_Fuel_Cell_Buses,http://fraunhofer.de/data,Hydrogen_Fuel_Cell_Buses,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Reconversion,Hydrogen Fuel Cell Buses,[],Fuel_Cell
153,153,http://fraunhofer.de/data/hydrogen_fuel_cell,http://fraunhofer.de/data,hydrogen_fuel_cell,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Customer,hydrogen fuel cell,[],Fuel_Cell
154,154,http://fraunhofer.de/data/Hydrogen_Infrastructure,http://fraunhofer.de/data,Hydrogen_Infrastructure,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Customer,Hydrogen Infrastructure,"[('Hydrogen Infrastructure', 'ORG')]",Infrastructure
155,155,http://fraunhofer.de/data/Hydrogen_and_Fuel_Cell_Technologies,http://fraunhofer.de/data,Hydrogen_and_Fuel_Cell_Technologies,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inTesting,Hydrogen and Fuel Cell Technologies,"[('Hydrogen', 'ORG'), ('Fuel Cell Technologies', 'ORG')]",Fuel_Cell
156,156,http://fraunhofer.de/data/hydrogen_fueling_stations,http://fraunhofer.de/data,hydrogen_fueling_stations,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Supplier,hydrogen fueling stations,[],Fuel_Cell
157,157,http://fraunhofer.de/data/Hydrogen_NEXO_Vehicle_POSCO,http://fraunhofer.de/data,Hydrogen_NEXO_Vehicle_POSCO,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Customer,Hydrogen NEXO Vehicle POSCO,"[('Hydrogen NEXO Vehicle', 'ORG')]",NEXO
158,158,http://fraunhofer.de/data/Hydrogen_Evolution,http://fraunhofer.de/data,Hydrogen_Evolution,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Supplier,Hydrogen Evolution,"[('Hydrogen Evolution', 'ORG')]",Hydrogen
159,159,http://fraunhofer.de/data/green_hydrogen,http://fraunhofer.de/data,green_hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Researcher,green hydrogen,[],Hydrogen
160,160,http://fraunhofer.de/data/Renewable_hydrogen,http://fraunhofer.de/data,Renewable_hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inProduction,Renewable hydrogen,[],Hydrogen
161,161,http://fraunhofer.de/data/hydrogen_and_fuel,http://fraunhofer.de/data,hydrogen_and_fuel,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inResearch,hydrogen and fuel,[],Fuel_Cell
